rowNames	Gene
27476	AL365361.1
27476	KCNA3
27480	KCNA2
27480	AL365361.1
27480	KCNA3
27480	CD53
27494	AL365361.1
27494	KCNA3
27494	CD53
27495	AL365361.1
27495	KCNA3
27495	CD53
27513	CD53
27530	CD53
27531	AL365361.1
27531	KCNA3
27531	CD53
27534	CD53
27626	AL390195.1
27643	AL390195.2
27658	WDR77
27679	ADORA3
27710	AL390195.2
27717	WDR77
28345	OLFML3
28416	PKMP1
28664	VANGL1
28708	SLC22A15
28788	SLC22A15
28923	CD58
28926	CD58
29032	FTH1P22
29038	FTH1P22
29082	PTGFRN
29191	VTCN1
29210	VTCN1
29306	PNRC2P1
29307	TENT5C
29326	PNRC2P1
29339	TENT5C
29448	SPAG17
29455	SPAG17
29458	SPAG17
29461	SPAG17
29462	SPAG17
29470	SPAG17
29563	TBX15
29598	WARS2-AS1
29613	WARS2-AS1
29752	ZNF697
29881	AC244669.1
29906	NBPF26
29908	NBPF26
29913	NBPF26
29913	LINC00623
29915	NBPF26
29915	LINC00623
29915	AC241377.3
29916	NBPF26
29916	AC253572.2
29916	LINC00623
29916	AC241377.3
29918	NBPF26
29923	NBPF26
29923	LINC00623
29926	LINC00623
29926	AC241377.3
29937	FAM72B
29955	LINC00623
30061	AC239800.2
30063	AC239800.2
30063	FCGR1CP
30068	AC239800.2
30075	AC239800.2
30081	FCGR1CP
30100	SRGAP2D
30101	SRGAP2D
30197	POLR3C
30197	PEX11B
30202	POLR3C
30206	GPR89A
30206	POLR3C
30206	PEX11B
30208	RNF115
30220	RNF115
30220	PEX11B
30224	RNF115
30291	AC239799.2
30308	POLR3C
30308	PEX11B
30325	POLR3C
30325	PEX11B
30384	HYDIN2
30430	NBPF12
30430	FMO5
30445	CCT8P1
30449	FMO5
30451	FMO5
30453	CCT8P1
30562	GPR89B
30622	RNVU1-7
30625	AC245100.4
30735	AC245297.3
30775	SF3B4
30809	SV2A
30883	APH1A
30883	CIART
30886	APH1A
30918	APH1A
30919	APH1A
30919	CIART
30924	CA14
30924	TARS2
30925	ANP32E
30925	APH1A
30925	CIART
30925	TARS2
30925	ECM1
30939	TARS2
30939	ECM1
30956	TARS2
30975	TARS2
30975	ECM1
30976	ECM1
30984	ECM1
30991	GOLPH3L
30992	TARS2
30992	ENSA
30993	TARS2
30993	ENSA
30999	ECM1
31000	TARS2
31000	ECM1
31002	ECM1
31005	TARS2
31005	ECM1
31006	ECM1
31014	TARS2
31014	ECM1
31021	APH1A
31021	TARS2
31021	ECM1
31026	ECM1
31027	ECM1
31027	GOLPH3L
31028	ECM1
31029	TARS2
31029	ECM1
31029	GOLPH3L
31038	TARS2
31044	TARS2
31044	ENSA
31044	GOLPH3L
31045	TARS2
31045	ECM1
31048	TARS2
31048	ENSA
31165	ANXA9
31172	ARNT
31172	SETDB1
31186	GABPB2
31205	ZNF687
31220	PIP5K1A
31220	PI4KB
31231	SETDB1
31272	PI4KB
31298	ZNF687
31302	PI4KB
31303	ZNF687
31305	PI4KB
31317	ZNF687
31317	PI4KB
31317	AL365436.1
31386	ZNF687
31386	SNX27
31393	SNX27
31394	PI4KB
31394	SNX27
31418	MRPL9
31420	MRPL9
31421	MRPL9
31421	TDRKH
31421	TDRKH-AS1
31423	TDRKH
31428	MRPL9
31428	OAZ3
31428	TDRKH
31428	TDRKH-AS1
31434	SNX27
31443	SNX27
31454	SNX27
31470	C2CD4D-AS1
31471	AL365436.1
31472	AL589765.5
31490	TDRKH
31490	TDRKH-AS1
31495	SNX27
31501	SNX27
31501	AL589765.5
31509	SNX27
31509	AL589765.5
31509	AL589765.4
31509	S100A11
31522	AL589765.5
31526	SNX27
31526	AL589765.5
31526	AL589765.4
31526	TDRKH
31527	SNX27
31527	AL589765.5
31534	C2CD4D-AS1
31535	C2CD4D-AS1
31537	SNX27
31537	OAZ3
31537	AL589765.5
31537	TDRKH
31537	TDRKH-AS1
31593	TDRKH
31604	S100A11
31605	S100A11
31608	MRPL9
31608	OAZ3
31618	AL589765.5
31618	AL589765.4
31618	FLG-AS1
31625	S100A11
31629	S100A11
31630	S100A11
31638	S100A11
31644	S100A11
31655	S100A10
31793	IVL
31796	IVL
31799	IVL
31802	IVL
31803	IVL
31807	IVL
31809	IVL
31831	IVL
31903	BX470102.1
31903	S100A6
31925	BX470102.1
31925	S100A4
31925	S100A1
31925	S100A13
31925	AL162258.2
31926	BX470102.1
31926	S100A4
31926	S100A16
31929	BX470102.1
31929	S100A6
31929	S100A4
31931	S100A16
31934	S100A6
31934	S100A5
31934	S100A4
31935	S100A6
31935	S100A5
31935	S100A4
31935	S100A2
31941	S100A2
31942	S100A6
31942	S100A5
31943	S100A6
31943	S100A4
31945	BX470102.1
31945	S100A6
31945	S100A5
31945	S100A4
31946	S100A6
31947	S100A6
31947	S100A5
31947	S100A4
31950	S100A5
31955	S100A5
31958	BX470102.1
31976	S100A4
31987	S100A4
31987	S100A16
31988	BX470102.1
31988	S100A6
31988	S100A16
32000	BX470102.1
32000	S100A6
32000	S100A5
32000	S100A4
32000	S100A1
32004	S100A5
32004	S100A1
32005	BX470102.1
32005	S100A5
32005	S100A4
32005	S100A1
32006	BX470102.1
32006	S100A6
32006	S100A5
32006	S100A4
32006	S100A1
32011	BX470102.1
32011	S100A16
32012	S100A5
32015	S100A4
32030	S100A16
32032	AL162258.2
32054	AL358472.5
32067	SLC27A3
32067	DENND4B
32199	RAB13
32349	UBE2Q1
32365	ADAR
32406	DCST2
32435	KCNN3
32455	ZBTB7B
32456	ZBTB7B
32461	SHC1
32461	ZBTB7B
32472	PYGO2
32487	ZBTB7B
32491	DCST2
32492	DCST2
32505	PMVK
32505	SCAMP3
32509	DCST2
32509	GBA
32518	GBA
32519	ZBTB7B
32519	GBA
32519	SCAMP3
32520	ZBTB7B
32520	ADAM15
32520	GBA
32520	SCAMP3
32524	ZBTB7B
32524	ADAM15
32524	GBA
32528	ADAM15
32528	GBA
32537	ZBTB7B
32546	ZBTB7B
32571	ADAM15
32571	GBA
32571	SCAMP3
32571	FDPS
32571	RUSC1
32578	GBA
32583	RUSC1-AS1
32584	SHC1
32584	RUSC1-AS1
32585	DCST2
32585	RUSC1-AS1
32601	DCST2
32640	GBA
32656	FAM189B
32708	FDPS
32708	RUSC1
32719	MSTO1
32721	MSTO1
32733	MSTO1
32752	MSTO1
32762	DAP3
32771	MSTO1
32774	MSTO1
32785	MSTO1
32789	UBQLN4
32790	DAP3
32812	RIT1
32812	SCARNA4
32812	SEMA4A
32823	KHDC4
32823	SCARNA4
32824	SCARNA4
32853	UBQLN4
32854	UBQLN4
32856	UBQLN4
32861	ARHGEF2
32861	SEMA4A
32869	UBQLN4
32876	ARHGEF2
32885	UBQLN4
32904	SLC25A44
32915	RIT1
32915	GLMP
32917	RIT1
32919	SCARNA4
32921	RIT1
32921	SEMA4A
32921	SLC25A44
32925	RIT1
32926	RIT1
32931	RIT1
32936	UBQLN4
32937	UBQLN4
32938	UBQLN4
32939	UBQLN4
32939	PMF1
32940	SCARNA4
32940	SEMA4A
32940	GLMP
32943	UBQLN4
32947	LMNA
32947	SEMA4A
32947	GLMP
32948	RIT1
32948	SNORA80E
32948	SCARNA4
32948	GLMP
32953	SCARNA4
32961	CCT3
32964	LMNA
32964	SEMA4A
32975	SEMA4A
32978	UBQLN4
33008	PAQR6
33010	SEMA4A
33010	PAQR6
33021	SEMA4A
33021	GLMP
33022	UBQLN4
33022	SEMA4A
33022	GLMP
33028	LMNA
33028	SEMA4A
33028	MEF2D
33047	SEMA4A
33058	GLMP
33065	GLMP
33078	SLC25A44
33089	MEF2D
33100	TMEM79
33100	MEF2D
33102	GLMP
33103	TMEM79
33121	NES
33201	ARHGEF11
33203	CRABP2
33204	CRABP2
33210	HDGF
33210	ARHGEF11
33234	CRABP2
33276	HDGF
33279	CRABP2
33487	FCRL4
33497	FCRL4
33497	FCRL2
33497	FCRL1
33553	FCRL4
33553	FCRL2
33553	FCRL1
33570	FCRL4
33570	FCRL1
33575	FCRL4
33575	FCRL2
33575	FCRL1
33778	AIM2
33863	DUSP23
33883	DUSP23
33887	TAGLN2
33893	AL590560.2
33903	AL590560.3
33904	AL590560.3
33905	DUSP23
33909	DUSP23
33928	TAGLN2
33965	AL590560.2
33985	AL139011.1
33990	AL590560.3
33990	AL590560.2
33999	AL590560.3
33999	AL590560.2
33999	DCAF8
34007	DCAF8
34007	AL139011.1
34008	DCAF8
34009	DCAF8
34010	DCAF8
34021	DCAF8
34025	DCAF8
34025	AL139011.1
34045	AL139011.1
34048	IGSF8
34048	AL139011.1
34049	AL139011.1
34110	AL139011.1
34122	AL121985.1
34123	SLAMF6
34126	AL121985.1
34162	SLAMF6
34173	SLAMF6
34173	CD48
34179	SLAMF6
34210	AL121985.1
34211	AL121985.1
34212	SLAMF6
34212	SLAMF1
34212	CD48
34212	LY9
34217	AL121985.1
34218	AL121985.1
34221	SLAMF6
34221	SLAMF1
34221	AL121985.1
34221	CD48
34221	SLAMF7
34221	LY9
34226	AL354714.2
34238	AL121985.1
34242	AL121985.1
34272	ITLN1
34296	SLAMF6
34296	SLAMF1
34296	CD48
34296	SLAMF7
34310	AL354714.2
34342	ITLN1
34354	NIT1
34359	NIT1
34359	UFC1
34368	ITLN1
34390	NIT1
34390	UFC1
34420	NECTIN4
34421	ITLN1
34450	DEDD
34479	NIT1
34479	PFDN2
34479	UFC1
34479	PPOX
34479	NDUFS2
34479	TOMM40L
34486	UFC1
34486	TOMM40L
34503	CFAP126
34507	UFC1
34508	NIT1
34508	PFDN2
34508	UFC1
34508	PPOX
34508	B4GALT3
34557	FCRLB
34601	DUSP12
34620	FCRLB
34621	FCRLB
34718	NOS1AP
34723	NOS1AP
34724	NOS1AP
34725	NOS1AP
34726	NOS1AP
34734	NOS1AP
34734	C1orf226
34741	NOS1AP
34741	C1orf226
34749	C1orf226
34755	NOS1AP
34755	C1orf226
34762	NOS1AP
34762	C1orf226
34770	NOS1AP
34770	C1orf226
34771	NOS1AP
34771	C1orf226
34772	NOS1AP
34772	C1orf226
34776	NOS1AP
34776	C1orf226
34777	NOS1AP
34777	C1orf226
34780	NOS1AP
34780	C1orf226
34782	NOS1AP
34782	C1orf226
34785	C1orf226
34787	NOS1AP
34787	C1orf226
34796	C1orf226
34812	C1orf226
34813	C1orf226
34828	C1orf226
34837	UHMK1
34892	UAP1
34898	UAP1
34898	HSD17B7
34900	UAP1
34901	UAP1
34903	UAP1
34905	HSD17B7
34913	UAP1
34914	UAP1
34918	UAP1
34919	HSD17B7
34921	UAP1
34922	UAP1
35137	AL391001.1
35155	RNU6-171P
35337	RXRG
35341	RXRG
35342	RXRG
35343	RXRG
35344	RXRG
35345	RXRG
35347	RXRG
35348	RXRG
35353	RXRG
35380	RXRG
35399	RXRG
35579	POGK
35601	POGK
35612	TADA1
35669	AL136984.1
35682	AL136984.1
35711	AL031733.2
35718	CD247
35718	AL031733.2
35723	AL031733.2
35727	AL359962.3
35728	CD247
35745	AL031733.2
35757	AL359962.3
35764	CREG1
35764	MPZL1
35793	AL031733.2
35800	AL031733.2
35852	ADCY10
